f_preferred_name,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,f_name,f_p,f_m_p,f_e,f_a,
HIP 65747 ,0.50 ,,,0.33 ,0.51 ,,0.33 ,0.41 ,0.29 ,,0.26 ,0.29 ,0.28 ,0.28 ,0.36 ,0.36 ,0.34 ,202.1637190 ,28.4485902 ,-56.950 ,-23.199 ,33.317 ,69.94 ,thin ,G1/2V ,8.34 ,0.682 ,-16.60 ,-53.30 ,-14.90 ,5888.5 ,4.36 ,1.06 ,1.33 ,,,,,,
HIP 212 ,,,,,,,,0.07 ,0.27 ,,,,,,,,,0.6635165 ,-29.0752430 ,195.942 ,2.269 ,-108.956 ,224.21 ,thin ,F2V ,10.25 ,0.318 ,-16.60 ,-6.00 ,-7.40 ,6873.0 ,4.50 ,1.44 ,1.36 ,,,,,,
HIP 213 ,0.35 ,,0.09 ,0.16 ,0.20 ,0.17 ,0.07 ,0.04 ,0.29 ,,0.22 ,0.16 ,0.30 ,0.30 ,,0.34 ,0.69 ,0.6670266 ,51.4723997 ,149.767 ,1.744 ,188.110 ,240.46 ,thin ,G5 ,7.70 ,1.003 ,-21.40 ,-18.60 ,-7.40 ,5026.0 ,,,9.86 ,,,,,,
HIP 32984 ,,,0.64 ,0.09 ,0.02 ,-0.12 ,0.01 ,,-0.03 ,0.21 ,0.15 ,0.20 ,0.04 ,-0.02 ,0.10 ,0.02 ,0.32 ,103.0752103 ,-5.1737128 ,-1.971 ,8.485 ,-0.789 ,8.75 ,thin ,K3.5V ,6.57 ,1.071 ,-0.10 ,12.70 ,-19.80 ,4763.6 ,4.45 ,0.76 ,0.70 ,,,,,,
HIP 32990 ,0.16 ,-2.33 ,-0.20 ,-0.10 ,0.40 ,0.26 ,0.24 ,0.31 ,0.26 ,0.16 ,0.16 ,0.10 ,0.22 ,0.13 ,0.14 ,0.13 ,0.16 ,103.0952588 ,-5.3162766 ,-34.743 ,149.355 ,-14.269 ,154.00 ,thin ,K0III ,6.30 ,0.977 ,-22.80 ,-20.30 ,-17.60 ,5065.0 ,,,11.25 ,,,,,,
2MASS 19262470+3858326 ,-0.20 ,,0.13 ,-0.23 ,0.54 ,-0.16 ,,-0.14 ,0.07 ,,,,,0.01 ,,0.03 ,,291.6029878 ,38.9757352 ,103.896 ,-262.370 ,228.317 ,362.99 ,N/A ,,10.10 ,,,,,7100.0 ,3.60 ,1.58 ,2.19 ,,,,,,
HIP 32993 ,0.18 ,,,,0.32 ,0.34 ,0.15 ,0.19 ,0.27 ,0.80 ,0.25 ,0.30 ,0.23 ,0.07 ,0.43 ,0.19 ,0.44 ,103.1035600 ,7.8961906 ,-22.390 ,96.189 ,13.697 ,99.71 ,N/A ,F5 ,7.60 ,0.491 ,,,,6455.0 ,3.89 ,1.31 ,2.16 ,,,,,,
HIP 32994 ,0.33 ,,0.29 ,0.26 ,0.28 ,0.32 ,0.31 ,0.29 ,0.26 ,0.38 ,0.27 ,0.26 ,0.30 ,0.27 ,0.28 ,0.29 ,0.33 ,103.1044965 ,-37.8506044 ,-14.014 ,60.199 ,-48.031 ,78.28 ,N/A ,G5V ,8.64 ,0.691 ,,,,5705.0 ,4.16 ,1.02 ,1.39 ,,,,,,
HIP 98532 ,-1.08 ,-1.05 ,-1.01 ,-0.57 ,-1.17 ,-0.69 ,-0.97 ,-0.78 ,-0.77 ,-0.95 ,-0.86 ,-1.07 ,-1.15 ,-1.56 ,-0.84 ,-1.12 ,-0.83 ,300.2510219 ,-12.2556544 ,31.091 ,-53.311 ,-13.406 ,63.15 ,thick ,F8/G2V ,7.72 ,0.571 ,71.30 ,-122.00 ,41.40 ,5686.1 ,3.87 ,1.00 ,1.76 ,,,,,,
2MASS 19385108+4157571 ,-0.55 ,,-0.57 ,-0.33 ,-0.71 ,-0.48 ,-0.45 ,-0.47 ,-0.46 ,,-0.33 ,-0.48 ,-0.59 ,-0.95 ,,-0.52 ,-0.40 ,294.7128397 ,41.9658806 ,95.952 ,-208.492 ,206.407 ,308.67 ,N/A ,,,,,,,5046.8 ,,,2.72 ,,,,,,
HIP 65775 ,0.04 ,,-0.01 ,,,,,,,,,,,,,,,202.2636794 ,42.2382628 ,-27.482 ,-11.251 ,26.963 ,40.11 ,thin ,F9.5V+ ,7.64 ,0.594 ,-17.00 ,-19.20 ,-4.80 ,5988.5 ,4.46 ,1.10 ,1.02 ,,,,,,
BD+48 00749 ,-0.10 ,,,0.04 ,,-0.07 ,-0.04 ,,-0.09 ,,-0.12 ,,,,,,,41.1640343 ,48.6959171 ,180.733 ,158.019 ,273.229 ,363.71 ,N/A ,,8.85 ,,,,,4769.0 ,2.74 ,,10.51 ,,,,,,
HIP 65790 ,-0.06 ,-1.98 ,-0.17 ,-0.02 ,-0.06 ,0.10 ,0.02 ,0.01 ,-0.01 ,-0.08 ,-0.07 ,-0.07 ,-0.04 ,-0.09 ,0.04 ,-0.05 ,-0.04 ,202.3041686 ,10.8183078 ,-80.548 ,-33.042 ,16.637 ,88.64 ,thin ,K0III ,5.66 ,1.052 ,-12.50 ,-29.80 ,-0.10 ,4697.5 ,2.53 ,,11.16 ,,,,,,
2MASS 06192947+1357031 ,-0.07 ,,0.25 ,,0.25 ,-0.27 ,0.05 ,0.23 ,0.12 ,-0.05 ,0.04 ,0.27 ,0.27 ,0.08 ,0.05 ,0.22 ,,94.8729051 ,13.9508242 ,-2.066 ,24.236 ,6.042 ,25.06 ,N/A ,,,,,,,3857.0 ,4.64 ,0.60 ,0.61 ,,,,,,
2MASS 19503634+4021091 ,-0.10 ,,-0.02 ,0.09 ,-0.18 ,0.02 ,0.01 ,-0.04 ,-0.01 ,,0.04 ,0.02 ,-0.10 ,-0.30 ,,-0.04 ,-0.17 ,297.6513942 ,40.3525524 ,123.946 ,-236.570 ,226.916 ,350.45 ,N/A ,,,,,,,5211.7 ,4.40 ,0.89 ,0.99 ,,,,,,
HIP 98565 ,-0.45 ,,,-0.28 ,-0.46 ,-0.26 ,-0.41 ,-0.41 ,-0.37 ,0.18 ,-0.37 ,-0.22 ,-0.44 ,-0.64 ,-0.14 ,-0.53 ,-0.42 ,300.3162285 ,5.6482482 ,45.476 ,-77.772 ,8.910 ,90.53 ,thin ,F6IVm-2 ,7.45 ,0.438 ,31.10 ,11.30 ,0.60 ,6397.0 ,3.87 ,1.27 ,2.17 ,,,,,,
HIP 33037 ,-0.20 ,,-0.03 ,0.11 ,-0.16 ,-0.05 ,,-0.14 ,-0.06 ,0.23 ,0.04 ,0.39 ,-0.13 ,-0.34 ,-0.07 ,-0.20 ,-0.20 ,103.2484982 ,-23.1076997 ,-6.425 ,27.291 ,-11.963 ,30.48 ,thin ,K3V ,9.03 ,0.976 ,-36.70 ,-56.50 ,22.80 ,4815.0 ,4.36 ,0.79 ,0.74 ,,,,,,
HIP 65808 ,0.25 ,,0.28 ,0.14 ,0.28 ,0.27 ,0.24 ,0.22 ,0.22 ,0.30 ,0.24 ,0.19 ,0.24 ,0.23 ,0.30 ,0.27 ,0.17 ,202.3379708 ,-35.5709962 ,-24.342 ,-10.002 ,-18.821 ,32.35 ,thin ,G7IV-V ,7.25 ,0.724 ,-33.60 ,-12.50 ,-13.10 ,5662.6 ,4.33 ,0.99 ,1.14 ,b ,2615.0 ,1.87 ,0.142 ,3.744 ,
HIP 33041 ,-0.01 ,,0.19 ,0.41 ,,,,,,,,,,,,,,103.2558791 ,38.8691487 ,-26.341 ,111.815 ,92.591 ,147.54 ,thin ,F2V ,6.10 ,0.406 ,-0.40 ,5.30 ,1.20 ,6846.0 ,,,5.73 ,,,,,,
2MASS 04235911+1643178 ,0.13 ,,,0.04 ,,,,,,,0.21 ,,,,,,,65.9964040 ,16.7215746 ,17.921 ,40.245 ,13.235 ,46.00 ,N/A ,,,,,,,3728.0 ,4.68 ,0.56 ,0.57 ,,,,,,
HIP 98589 ,0.21 ,-1.22 ,0.20 ,0.07 ,0.19 ,0.21 ,0.19 ,0.18 ,0.23 ,0.27 ,0.19 ,0.21 ,0.21 ,0.12 ,0.24 ,0.22 ,0.25 ,300.3866675 ,-16.8689987 ,16.509 ,-28.154 ,-9.897 ,34.10 ,thin ,G2-V ,7.33 ,0.654 ,-31.90 ,-16.90 ,-13.00 ,5850.2 ,4.45 ,1.06 ,1.05 ,,,,,,
HIP 33061 ,0.48 ,,0.32 ,,,0.40 ,0.46 ,0.45 ,0.42 ,,0.49 ,0.51 ,0.49 ,,,,,103.3035405 ,-44.9286124 ,-15.419 ,65.209 ,-66.840 ,94.64 ,N/A ,G6III ,8.90 ,0.794 ,,,,5483.0 ,3.98 ,0.96 ,1.66 ,,,,,,
HIP 98599 ,0.35 ,,0.28 ,0.36 ,0.35 ,0.34 ,0.28 ,0.35 ,0.40 ,0.57 ,0.43 ,0.30 ,0.38 ,0.29 ,0.39 ,0.33 ,0.61 ,300.4091043 ,-22.1108702 ,35.613 ,-60.679 ,-28.585 ,75.94 ,thin ,F7V ,8.09 ,0.556 ,-8.60 ,-19.10 ,4.10 ,6287.5 ,4.24 ,1.22 ,1.39 ,,,,,,
HIP 296 ,0.31 ,,0.13 ,-0.19 ,,,,,,,,,,,,,,0.9228540 ,-28.3961933 ,35.329 ,0.569 ,-19.102 ,40.17 ,thin ,G8.5V ,8.25 ,0.780 ,-31.20 ,-45.80 ,-19.80 ,5554.0 ,4.50 ,0.98 ,0.92 ,,,,,,
HIP 33072 ,0.15 ,-0.38 ,0.24 ,0.11 ,0.13 ,0.07 ,0.02 ,0.13 ,0.19 ,0.23 ,0.18 ,0.12 ,0.14 ,,0.11 ,0.12 ,,103.3184959 ,-74.7251868 ,-3.352 ,14.157 ,-53.273 ,55.22 ,thin ,F8V+A/F ,7.65 ,0.525 ,-44.00 ,-13.80 ,-8.10 ,6329.0 ,4.55 ,1.25 ,1.23 ,,,,,,
HIP 305 ,0.22 ,,0.22 ,0.34 ,0.15 ,0.30 ,0.29 ,0.24 ,0.22 ,0.34 ,0.24 ,0.18 ,0.20 ,0.07 ,0.30 ,0.24 ,0.03 ,0.9723717 ,-28.3937809 ,47.926 ,0.813 ,-25.911 ,54.49 ,thin ,G5IV ,7.64 ,0.741 ,-21.10 ,-15.70 ,17.40 ,5622.0 ,4.01 ,0.99 ,1.59 ,,,,,,
HIP 98614 ,0.49 ,,-0.37 ,0.11 ,1.13 ,0.02 ,0.10 ,0.24 ,-0.17 ,,,0.89 ,,0.30 ,0.61 ,0.74 ,,300.4446463 ,45.4766301 ,38.460 ,-65.437 ,77.176 ,108.25 ,thin ,kA2mF2 ,7.53 ,0.313 ,-18.70 ,-12.40 ,-12.50 ,7300.0 ,3.80 ,1.65 ,1.93 ,,,,,,
HIP 92895 ,-0.03 ,,-0.18 ,-0.04 ,-0.12 ,0.02 ,-0.04 ,-0.06 ,-0.01 ,-0.07 ,0.02 ,-0.03 ,-0.08 ,-0.12 ,-0.06 ,-0.03 ,0.17 ,283.9203502 ,4.2653229 ,31.093 ,-125.448 ,9.639 ,129.60 ,thin ,G6/8IV ,8.00 ,0.869 ,45.50 ,-27.10 ,-20.00 ,5036.8 ,3.46 ,,4.46 ,b ,299.05 ,0.577 ,0.057 ,0.99 ,
HIP 98621 ,-0.08 ,,-0.10 ,0.02 ,-0.08 ,,-0.03 ,-0.07 ,-0.04 ,-0.02 ,0.01 ,-0.06 ,-0.08 ,-0.22 ,-0.04 ,-0.09 ,0.12 ,300.4668709 ,-69.1879429 ,7.386 ,-12.555 ,-38.323 ,41.00 ,thin ,G4V ,8.11 ,0.674 ,-53.90 ,1.70 ,-15.40 ,5666.8 ,4.44 ,1.00 ,0.97 ,,,,,,
HIP 33086 ,0.17 ,,-0.14 ,-0.13 ,-0.04 ,0.04 ,-0.02 ,-0.10 ,0.15 ,,0.07 ,0.03 ,0.13 ,0.14 ,,0.17 ,0.37 ,103.3592252 ,21.7182207 ,-41.256 ,173.721 ,71.121 ,192.20 ,thin ,K0 ,8.29 ,0.980 ,-80.70 ,-36.00 ,-7.80 ,4898.0 ,,,6.17 ,,,,,,
HIP 65855 ,-0.57 ,,,,,-0.31 ,-0.52 ,-0.49 ,-0.48 ,,-0.62 ,-0.84 ,-0.61 ,,,-0.58 ,-0.73 ,202.4901661 ,6.0135295 ,-118.305 ,-48.980 ,13.488 ,128.75 ,thin ,K0 ,6.51 ,0.956 ,-35.60 ,29.40 ,-2.30 ,4819.0 ,2.44 ,,9.21 ,,,,,,
HIP 98624 ,0.04 ,-1.98 ,,,,,,,,,,,,,,,,300.4685902 ,-66.9439648 ,14.335 ,-24.367 ,-66.421 ,72.19 ,thin ,K2IVCNII ,5.33 ,1.218 ,12.40 ,-37.00 ,-31.60 ,4434.0 ,2.45 ,,12.35 ,,,,,,
HIP 65859 ,-0.15 ,,-0.06 ,,-0.05 ,-0.31 ,-0.08 ,-0.12 ,-0.13 ,-0.33 ,0.05 ,-0.03 ,-0.14 ,-0.44 ,-0.14 ,-0.21 ,,202.4991071 ,10.3771624 ,-6.923 ,-2.867 ,1.372 ,7.62 ,thin ,M1.0V ,9.05 ,1.493 ,57.70 ,-8.20 ,-3.70 ,3697.0 ,4.74 ,0.50 ,0.50 ,,,,,,
HIP 33094 ,0.06 ,-2.67 ,0.20 ,0.15 ,0.11 ,0.23 ,0.18 ,0.12 ,0.12 ,0.22 ,0.18 ,0.07 ,0.02 ,-0.05 ,0.19 ,0.10 ,0.02 ,103.3914275 ,-28.5397933 ,-5.251 ,22.055 ,-12.330 ,25.81 ,thick ,G5V ,6.04 ,0.708 ,17.10 ,-95.20 ,-6.30 ,5621.0 ,4.12 ,1.00 ,1.59 ,,,,,,
2MASS 19191922+5035104 ,0.10 ,,0.12 ,-0.01 ,-0.01 ,0.11 ,0.13 ,-0.06 ,0.09 ,,0.15 ,0.14 ,0.14 ,0.02 ,,0.13 ,0.15 ,289.8301647 ,50.5862336 ,333.651 ,-925.222 ,1196.799 ,1549.09 ,N/A ,,,,,,,5883.2 ,4.16 ,1.07 ,1.43 ,b c ,9.82578435 20.68397904 ,None None ,None None ,0.0953 None ,
HIP 33109 ,0.02 ,,0.08 ,0.04 ,-0.06 ,0.01 ,-0.14 ,,0.05 ,,0.04 ,,0.03 ,-0.12 ,,,0.07 ,103.4367788 ,-9.5154642 ,-8.914 ,37.311 ,-6.430 ,38.90 ,thin ,F8.5V ,7.05 ,0.566 ,3.60 ,1.20 ,-12.20 ,6099.3 ,4.29 ,1.14 ,1.25 ,,,,,,
HIP 114570 ,0.04 ,,0.22 ,-0.06 ,-0.06 ,-0.08 ,0.13 ,-0.10 ,0.07 ,0.13 ,0.12 ,0.26 ,-0.02 ,-0.25 ,0.07 ,-0.20 ,0.14 ,348.1375191 ,49.4062027 ,15.529 ,-3.262 ,18.517 ,24.39 ,thin ,F1V ,4.52 ,0.302 ,-17.10 ,8.40 ,4.10 ,7161.3 ,4.16 ,1.60 ,1.73 ,,,,,,
HIP 343 ,0.18 ,-3.02 ,,0.08 ,0.34 ,0.36 ,0.38 ,0.34 ,0.12 ,0.22 ,0.19 ,0.12 ,0.25 ,0.24 ,0.36 ,0.25 ,0.16 ,1.0824633 ,-16.5290378 ,97.480 ,1.842 ,-28.934 ,101.70 ,thin ,K0III ,5.78 ,1.084 ,-5.40 ,-25.10 ,-33.80 ,4770.8 ,2.60 ,,11.37 ,,,,,,
2MASS 08513970+1853200 ,-1.75 ,,,,,,,,,,,-2.08 ,,,,,,132.9153653 ,18.8888554 ,-147.852 ,159.022 ,74.295 ,229.50 ,N/A ,,12.07 ,,,,,5360.0 ,4.15 ,0.93 ,1.01 ,,,,,,
HIP 65882 ,0.10 ,,0.08 ,0.31 ,-0.09 ,0.03 ,-0.15 ,0.09 ,0.14 ,,0.08 ,0.03 ,0.09 ,-0.23 ,,0.05 ,0.10 ,202.5702647 ,28.5679240 ,-86.739 ,-36.053 ,51.146 ,106.95 ,thin ,F7V ,8.77 ,0.494 ,-6.10 ,-6.40 ,-5.40 ,6376.0 ,4.15 ,1.19 ,1.51 ,,,,,,
HIP 348 ,-0.15 ,-2.33 ,-0.04 ,-0.11 ,-0.22 ,,-0.11 ,-0.16 ,-0.07 ,-0.02 ,-0.10 ,-0.16 ,-0.15 ,-0.28 ,,-0.13 ,,1.0895931 ,12.9572950 ,56.045 ,1.066 ,12.897 ,57.52 ,thin ,G5 ,8.64 ,0.640 ,-90.70 ,-11.10 ,-12.30 ,5761.5 ,4.39 ,1.03 ,1.02 ,,,,,,
2MASS 19295686+4611463 ,-0.30 ,,-0.16 ,-0.08 ,-0.37 ,-0.27 ,-0.25 ,-0.25 ,-0.16 ,,-0.22 ,-0.18 ,-0.26 ,-0.41 ,,-0.28 ,-0.33 ,292.4869224 ,46.1962071 ,187.687 ,-453.408 ,511.650 ,708.94 ,N/A ,,,,,,,4880.7 ,,,,b ,13.2217576 ,None ,None ,0.1005 ,
HIP 355 ,0.12 ,,0.29 ,0.09 ,,,,-0.29 ,0.11 ,,,,,,,,,1.1254951 ,-10.5095238 ,440.279 ,8.650 ,-81.692 ,447.88 ,thin ,K3III ,4.95 ,1.619 ,33.50 ,-34.00 ,32.80 ,4046.2 ,0.90 ,,129.20 ,,,,,,
2MASS 19215162+4819560 ,-0.08 ,,-0.06 ,-0.12 ,-0.26 ,-0.06 ,-0.13 ,-0.06 ,-0.06 ,,-0.08 ,-0.10 ,-0.07 ,-0.22 ,,-0.07 ,-0.12 ,290.4651330 ,48.3322508 ,85.114 ,-228.071 ,273.536 ,366.17 ,N/A ,,,,,,,5632.3 ,4.30 ,1.00 ,1.17 ,,,,,,
2MASS 09162066-1837329 ,-0.10 ,,,,,,,,,,,-0.11 ,,,,,,139.0860190 ,-18.6258060 ,-9.627 ,8.343 ,-4.294 ,13.44 ,N/A ,,,,,,,3588.0 ,4.77 ,0.46 ,0.47 ,,,,,,
HIP 33139 ,0.41 ,,,,0.41 ,0.24 ,0.31 ,0.36 ,0.14 ,,0.23 ,,0.20 ,,,0.26 ,,103.5094084 ,-50.6115994 ,-8.138 ,33.872 ,-42.428 ,54.90 ,thin ,K0/1III ,6.26 ,0.988 ,-64.60 ,-32.30 ,-10.90 ,5060.0 ,3.36 ,,4.21 ,,,,,,
HIP 98677 ,-0.33 ,-2.03 ,-0.21 ,-0.20 ,-0.40 ,-0.25 ,-0.24 ,-0.26 ,-0.25 ,-0.32 ,-0.21 ,-0.29 ,-0.39 ,-0.66 ,-0.28 ,-0.34 ,-0.30 ,300.6423142 ,15.5920746 ,9.467 ,-15.981 ,5.183 ,19.28 ,thin ,K0VFe-0.9 ,7.12 ,0.714 ,53.30 ,-15.00 ,-17.30 ,5393.1 ,4.51 ,0.93 ,0.80 ,,,,,,
2MASS 19102900+4308300 ,0.18 ,,0.14 ,0.25 ,0.14 ,0.14 ,0.06 ,0.18 ,0.16 ,,0.14 ,0.09 ,0.18 ,0.12 ,,0.21 ,0.23 ,287.6208299 ,43.1416604 ,151.789 ,-477.895 ,469.906 ,687.19 ,N/A ,,,,,,,5881.1 ,4.12 ,1.07 ,1.50 ,b c ,16.2580276 31.80474045 ,None None ,None None ,0.1317 0.2053 ,
HIP 379 ,0.01 ,-3.07 ,-0.17 ,-0.06 ,0.09 ,0.16 ,0.14 ,0.10 ,-0.04 ,0.05 ,-0.04 ,-0.09 ,0.01 ,-0.01 ,0.13 ,-0.01 ,-0.08 ,1.1749179 ,67.1664447 ,38.102 ,0.781 ,90.512 ,98.21 ,thin ,K1III ,5.69 ,1.051 ,-24.30 ,-46.00 ,0.10 ,4755.0 ,2.52 ,,11.00 ,,,,,,
BD+68 00937 ,-0.21 ,,,0.01 ,,-0.12 ,-0.17 ,,-0.20 ,,-0.16 ,,,,,,,262.9002469 ,68.5386511 ,-13.907 ,-111.653 ,286.203 ,307.53 ,N/A ,,8.44 ,,,,,4756.0 ,2.84 ,,10.27 ,,,,,,
HIP 65920 ,-0.45 ,,,,,-0.19 ,-0.37 ,-0.26 ,-0.44 ,,-0.48 ,-0.70 ,-0.51 ,,,-0.48 ,-0.57 ,202.7142817 ,-3.0498290 ,-135.464 ,-56.706 ,-7.824 ,147.06 ,N/A ,K0III ,6.91 ,1.030 ,,,,4732.0 ,2.62 ,,9.71 ,,,,,,
HIP 33160 ,-0.37 ,-4.14 ,-0.49 ,-0.45 ,-0.12 ,-0.16 ,0.01 ,-0.16 ,-0.27 ,-0.34 ,-0.13 ,-0.04 ,-0.26 ,-0.56 ,-0.22 ,-0.40 ,-0.48 ,103.5474991 ,-12.0386281 ,-17.262 ,71.639 ,-15.715 ,75.35 ,thick ,K3/4III ,4.08 ,1.418 ,-78.80 ,-50.30 ,-57.40 ,4008.9 ,1.71 ,,30.81 ,,,,,,
HIP 394 ,-0.44 ,-1.30 ,-0.25 ,-0.15 ,-0.46 ,-0.25 ,-0.38 ,-0.32 ,-0.32 ,-0.14 ,-0.37 ,-0.48 ,-0.44 ,-0.70 ,-0.42 ,-0.46 ,-0.42 ,1.2238528 ,34.6596670 ,29.050 ,0.621 ,20.089 ,35.33 ,thick ,G2V ,6.11 ,0.632 ,-130.00 ,-53.90 ,-12.20 ,5608.0 ,3.71 ,1.02 ,2.05 ,,,,,,
HIP 98702 ,-0.11 ,-2.46 ,0.01 ,0.08 ,-0.29 ,,-0.15 ,-0.02 ,-0.14 ,0.03 ,-0.16 ,-0.08 ,-0.17 ,-0.31 ,-0.01 ,-0.02 ,-0.18 ,300.7044572 ,67.8735610 ,23.046 ,-38.807 ,111.004 ,119.83 ,thin ,K3III ,4.50 ,1.313 ,-28.40 ,-16.10 ,0.70 ,4315.0 ,2.04 ,,30.72 ,,,,,,
2MASS 23342787-0134482 ,-0.01 ,-0.77 ,,,-0.15 ,-0.14 ,-0.28 ,-0.13 ,-0.03 ,0.11 ,,-0.15 ,-0.11 ,-0.38 ,-0.08 ,-0.15 ,,353.6161733 ,-1.5800313 ,346.202 ,-38.734 ,-9.609 ,348.49 ,N/A ,,,,,,,6134.0 ,4.55 ,1.16 ,1.11 ,b ,3.40884 ,0.899 ,None ,0.0445 ,
HIP 400 ,-0.40 ,,,-0.02 ,-0.31 ,,,-0.23 ,,,-0.22 ,,,,,-0.40 ,,1.2346731 ,23.2696287 ,24.199 ,0.522 ,10.409 ,26.35 ,thin ,G9V ,7.81 ,0.755 ,-43.20 ,-16.60 ,-14.00 ,5307.4 ,4.59 ,0.91 ,0.83 ,,,,,,
HIP 407 ,0.16 ,,-0.01 ,0.14 ,0.10 ,0.15 ,0.08 ,0.14 ,0.12 ,0.15 ,0.11 ,0.08 ,0.14 ,0.06 ,0.15 ,0.14 ,0.13 ,1.2446546 ,-70.2124424 ,14.953 ,0.325 ,-41.572 ,44.18 ,thin ,G5V ,8.12 ,0.710 ,0.40 ,-25.70 ,2.40 ,5711.5 ,4.43 ,1.02 ,0.99 ,,,,,,
HIP 410 ,-0.06 ,-2.99 ,-0.31 ,-0.07 ,0.08 ,0.03 ,0.13 ,0.07 ,0.01 ,-0.02 ,-0.04 ,-0.11 ,-0.03 ,-0.17 ,-0.02 ,-0.07 ,-0.07 ,1.2549430 ,27.6747857 ,139.242 ,3.050 ,73.043 ,157.27 ,thin ,G8II ,6.47 ,0.946 ,-58.40 ,-22.90 ,-23.00 ,4935.5 ,2.42 ,,11.61 ,,,,,,
2MASS 19235800+4013455 ,0.05 ,,-0.02 ,-0.07 ,-0.16 ,,-0.01 ,0.01 ,0.17 ,,0.08 ,0.22 ,0.09 ,-0.17 ,,,0.21 ,290.9916668 ,40.2293182 ,223.699 ,-583.008 ,528.250 ,817.92 ,N/A ,,,,,,,5916.0 ,,,,b ,29.6091744 ,None ,None ,0.1781 ,
HIP 413 ,-0.08 ,-0.63 ,-0.04 ,-0.03 ,-0.13 ,0.08 ,-0.17 ,-0.07 ,-0.05 ,0.01 ,-0.06 ,-0.13 ,-0.09 ,-0.26 ,-0.09 ,-0.12 ,0.02 ,1.2609740 ,-36.0151194 ,41.146 ,0.906 ,-29.918 ,50.88 ,thin ,G0V ,7.74 ,0.537 ,-50.10 ,-9.80 ,-15.90 ,6162.3 ,4.55 ,1.18 ,1.15 ,,,,,,
2MASS 19323146+4539487 ,0.13 ,,0.06 ,-0.02 ,0.03 ,0.10 ,0.09 ,0.07 ,0.14 ,,0.11 ,0.14 ,0.10 ,0.04 ,,0.16 ,0.10 ,293.1310968 ,45.6635381 ,103.519 ,-242.331 ,269.691 ,377.06 ,N/A ,,,,,,,5084.0 ,4.58 ,0.85 ,0.78 ,b ,0.7698536 ,None ,None ,0.0158 ,
HIP 65951 ,0.25 ,-3.20 ,-0.08 ,-0.14 ,0.58 ,0.50 ,0.54 ,0.48 ,0.31 ,0.20 ,0.22 ,0.31 ,0.35 ,0.23 ,0.31 ,0.35 ,0.16 ,202.8156935 ,42.1061536 ,-52.740 ,-22.187 ,51.711 ,77.12 ,thin ,K2III ,6.07 ,1.075 ,-34.40 ,-20.50 ,-18.10 ,4831.0 ,,,7.11 ,,,,,,
HIP 417 ,0.18 ,-2.90 ,-0.06 ,-0.04 ,0.39 ,0.35 ,0.44 ,0.44 ,0.29 ,0.16 ,0.17 ,0.20 ,0.24 ,0.15 ,0.21 ,0.29 ,0.06 ,1.2659308 ,-0.5030363 ,145.312 ,3.211 ,-1.276 ,145.35 ,thin ,K0III ,6.31 ,1.099 ,-10.10 ,-32.60 ,-34.50 ,4635.0 ,2.25 ,,12.40 ,,,,,,
HIP 419 ,-0.39 ,,-0.05 ,,-0.31 ,,-0.41 ,-0.27 ,-0.33 ,,,,,,,-0.37 ,,1.2784994 ,-42.5678739 ,134.990 ,3.013 ,-124.021 ,183.34 ,N/A ,G8/K0V ,8.97 ,0.860 ,,,,5043.0 ,,,3.91 ,,,,,,
HIP 420 ,0.02 ,,0.01 ,-0.13 ,-0.09 ,-0.03 ,,0.03 ,-0.02 ,,-0.03 ,-0.11 ,0.02 ,,-0.06 ,0.02 ,,1.2812304 ,-52.1517393 ,25.933 ,0.580 ,-33.382 ,42.28 ,thin ,G0V ,7.52 ,0.577 ,39.90 ,-21.70 ,-16.10 ,6154.0 ,4.45 ,1.16 ,1.07 ,,,,,,
HIP 423 ,0.18 ,-0.03 ,,,,,,,,,,,,,,,,1.2884723 ,30.3290287 ,129.757 ,2.918 ,75.931 ,150.37 ,N/A ,F3V ,7.77 ,0.437 ,,,,6380.0 ,3.01 ,1.45 ,2.78 ,,,,,,
HIP 65963 ,-0.04 ,,,,-0.16 ,0.07 ,-0.07 ,-0.11 ,-0.11 ,-0.11 ,-0.02 ,-0.05 ,-0.13 ,-0.32 ,-0.03 ,-0.14 ,,202.8695363 ,-8.0073383 ,-46.754 ,-19.721 ,-7.138 ,51.24 ,N/A ,G6V ,8.85 ,0.721 ,,,,5478.0 ,4.52 ,0.96 ,0.91 ,,,,,,
HIP 428 ,-0.08 ,,0.12 ,,0.04 ,-0.35 ,0.05 ,0.06 ,-0.10 ,-0.22 ,0.06 ,-0.03 ,-0.02 ,-0.16 ,0.15 ,-0.01 ,,1.2953714 ,45.7865666 ,8.015 ,0.181 ,8.240 ,11.50 ,thin ,M1 ,9.97 ,1.472 ,-38.80 ,-23.40 ,-16.10 ,3875.0 ,4.72 ,0.51 ,0.52 ,,,,,,
